nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E
469,0.17630447477628802,-0.6764276484550528,-0.7073480754551511,-0.33583937511112166,-0.7112073977814743,-0.1499063377991721,-0.4022862772523271,0.9388976789347236,1.0026723810699754,1.3243953029050692,0.6551989492190042
1319,0.5890399926349205,1.557420109950948,1.429266296258827,0.04965809961348259,1.4155576534660805,-0.1499063377991721,-0.6400008956287022,-0.09527296725528131,-0.19559446076159026,-0.2540066589674724,-1.4031509344978272
1390,0.3906805347983834,1.557420109950948,1.1505774651656995,0.2638233633493772,1.1462962680997344,-0.1499063377991721,1.7371452881350489,-0.8816239194274049,-0.7315520731089872,1.28589769407891,-1.4214137229056156
1206,0.17630447477628802,-0.6764276484550528,-0.7833541202987312,0.7349869435683363,-0.7528629338839413,-0.1499063377991721,-0.6400008956287022,0.6705485428088521,0.7229943510873165,-1.2421119521722344,0.6952879969434179
1309,0.5890399926349205,1.557420109950948,1.3701504836027087,0.17815725785502243,1.3652377658543007,-0.1499063377991721,-0.6400008956287022,-0.14842955842775582,-0.22979804516567276,2.0301847980513275,-1.380433807453993
2367,0.5804156683811588,0.812804190482281,1.268809090477935,0.6064877853267965,1.2825931822270065,-0.1499063377991721,-0.4022862772523271,-0.06007963792729815,-0.1693805901782612,1.4527206656589347,-1.5710795010767593
2679,0.35371914513940167,1.557420109950948,1.4039309479776334,0.17815725785502243,1.396895973292175,-0.1499063377991721,-0.4022862772523271,-0.13523205992976217,-0.22154200755089423,3.377601106966911,-1.466847976993284
1927,0.5890399926349205,1.557420109950948,1.4714918767274825,0.2209903106021922,1.4685434953884187,-0.1499063377991721,-0.6400008956287022,-0.041749778902306925,-0.16199961645813662,-0.9533798859760376,-1.4205228551784064
1384,0.3906805347983834,1.557420109950948,1.3025895548528597,0.0924911523606676,1.2922572666027785,-0.1499063377991721,1.7371452881350489,-1.123578058557289,-0.8810738603259439,-0.1320975643513005,-1.3777612042723653
2250,0.0654203057993411,-0.6764276484550528,-0.7833541202987312,0.9491522073042309,-0.7595278196603361,-0.1499063377991721,-0.6400008956287022,1.2149453558510916,1.325913374503885,-1.6206717722961363,0.7981832194360794
