nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
672,52.32,0.0,3.8,24.6,93.48,145.0,1.0,-41.49,-443.86,0.0,0.0,38.41,28.12142857142857
673,52.32,0.0,3.75,24.9,93.38,145.0,-1.0,18.55,198.7,5.65778321280759,5.0,38.405,28.12142857142857
674,52.32,0.0,3.8,24.8,94.24,145.0,1.0,76.6,812.77,0.0,0.0,39.61,28.12142857142857
675,50.66,0.0,3.9,24.6,95.94,145.0,1.0,76.06,792.76,0.0,0.0,36.3,28.12142857142857
677,50.66,0.0,3.8,24.7,93.86,145.0,-1.0,27.83,296.51,4.335197045077562,1.0,38.22,28.12142857142857
679,50.66,0.0,3.7,24.7,91.39,145.0,1.0,72.57,794.02,0.0,0.0,38.03,28.12142857142857
681,50.66,0.0,3.8,24.8,94.24,145.0,1.0,76.46,811.34,0.0,0.0,37.85,28.12142857142857
682,50.66,0.0,3.8,24.8,94.24,145.0,1.0,-42.48,-450.76,0.0,0.0,38.6,28.12142857142857
683,50.66,0.0,3.8,24.8,94.24,145.0,-1.0,16.7,177.19,5.870333077896974,5.0,38.5,28.12142857142857
684,50.66,0.0,3.7,24.7,91.39,145.0,1.0,-41.54,-454.5,0.0,0.0,38.96,28.12142857142857
685,50.66,0.0,3.8,24.8,94.24,145.0,1.0,75.7,803.27,0.0,0.0,36.6,28.12142857142857
751,53.31,0.0,3.67,25.25,92.67,145.0,1.0,-46.82,-505.21,0.0,0.0,40.01,44.15
752,53.31,0.0,3.7,25.34,93.76,145.0,1.0,-55.06,-587.26,0.0,0.0,40.04,44.15
753,53.31,0.0,3.7,25.12,92.94,145.0,1.0,-51.47,-553.82,0.0,0.0,40.88,44.15
754,53.31,0.0,3.68,25.29,93.14,145.0,1.0,78.18,839.32,0.0,0.0,38.03,44.15
755,53.31,0.0,3.75,25.33,95.06,145.0,1.0,75.95,798.89,0.0,0.0,39.54,44.15
756,53.31,0.0,3.69,25.22,92.99,145.0,1.0,70.66,759.87,0.0,0.0,39.39,44.15
883,53.31,0.0,3.82,25.0,95.43,145.0,1.0,75.01,786.02,0.0,0.0,37.91,30.443137254901963
884,53.31,0.0,3.82,25.0,95.43,145.0,1.0,77.02,807.08,0.0,0.0,41.45,30.443137254901963
885,53.31,0.0,3.82,25.0,95.43,145.0,1.0,76.62,802.89,0.0,0.0,39.25,30.443137254901963
886,53.31,0.0,3.82,25.0,95.43,145.0,1.0,75.98,796.19,0.0,0.0,40.83,30.443137254901963
887,53.31,0.0,3.82,25.0,95.43,145.0,1.0,-55.96,-586.4,0.0,0.0,43.04,30.443137254901963
888,53.31,0.0,3.82,25.0,95.43,145.0,1.0,-52.26,-547.63,0.0,0.0,41.09,30.443137254901963
889,53.31,0.0,3.82,25.0,95.43,145.0,1.0,-54.8,-574.24,0.0,0.0,39.75,30.443137254901963
890,53.31,0.0,3.82,25.0,95.43,145.0,1.0,-57.37,-601.17,0.0,0.0,40.05,30.443137254901963
891,53.31,0.0,3.85,25.37,97.76,145.0,10.0,-50.0,-511.47,0.3010299956639812,2.8,39.13,30.443137254901963
893,53.31,0.0,3.79,25.22,95.5,145.0,10.0,-38.0,-397.9,5.479330527707678,4.85,41.19,49.5
894,53.31,0.0,3.81,25.62,97.61,145.0,10.0,-45.0,-461.01,2.469822015978163,4.0,41.18,28.0
895,53.31,0.0,3.74,25.38,94.92,145.0,10.0,-40.0,-421.4,5.0802114725318805,4.5,39.99,30.443137254901963
896,53.31,0.0,3.74,25.5,95.29,145.0,10.0,-42.0,-440.78,3.7685641095135733,4.7,42.18,34.4
