nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
1156,52.55,0.0,3.73,24.71,92.18,-1.0,20.0,216.97,4.320914453045575,5.0,36.519999999999996,31.42941176470588,782.48,72.36,-443.29,-40.68
1157,50.81,0.0,3.85,24.55,94.52,-1.0,17.01,179.97,5.834315773598671,4.32,38.099999999999994,35.27916666666667,792.76,76.06,-450.76,-42.48
1158,50.81,0.0,3.75,24.71,92.66,-1.0,16.68,180.01,5.829535977866126,4.32,38.0,35.27916666666667,736.79,68.14,-474.04,-43.32
1159,50.81,0.0,3.77,24.71,93.16,-1.0,16.77,180.02,5.81868898208072,4.32,37.224999999999994,35.27916666666667,811.34,76.46,-450.76,-42.48
1160,50.81,0.0,3.8,24.59,93.44,-1.0,28.03,299.97,3.8294967497201826,1.52,37.769999999999996,35.27916666666667,811.34,76.46,-450.76,-42.48
1161,50.81,0.0,3.88,24.59,95.41,-1.0,24.81,260.04,4.407645797062556,2.0,37.275000000000006,33.2,792.76,76.06,-450.76,-42.48
1162,50.81,0.0,3.95,24.67,97.45,-1.0,20.49,210.27,5.130497804316687,3.13,36.36,35.27916666666667,792.76,76.06,-450.76,-42.48
1163,50.81,0.0,3.86,24.77,95.61,-1.0,24.86,260.01,4.608579514826188,2.0,38.05,35.27916666666667,774.16,73.65,-450.76,-42.48
1164,50.81,0.0,3.82,24.68,94.28,-1.0,19.8,210.02,5.332404118994238,3.13,37.615,31.9,811.34,76.46,-450.76,-42.48
1165,50.81,0.0,3.86,24.84,95.88,-1.0,20.14,210.05,5.2252265510880465,3.13,37.485,35.27916666666667,774.16,73.65,-450.76,-42.48
1166,50.81,0.0,3.85,24.62,94.79,-1.0,24.64,259.95,4.487308099109349,2.0,37.275,33.1,792.76,76.06,-450.76,-42.48
1188,53.4,0.0,3.62,25.36,91.8,-1.0,32.33,352.17,3.2880255353883627,2.0,41.955,30.5,823.58,76.8,-565.95,-51.2
1189,53.4,0.0,3.63,25.38,92.13,-1.0,32.33,350.92,3.34966598409663,2.0,45.93,31.7,823.58,76.8,-505.21,-46.82
1190,53.4,0.0,3.67,25.48,93.51,-1.0,32.33,345.73,3.2234959409623944,2.0,49.91,29.2,823.58,76.8,-505.21,-46.82
1191,53.4,0.0,3.67,25.37,93.11,-1.0,32.33,347.23,3.302114376956201,2.0,41.825,30.0,823.58,76.8,-505.21,-46.82
1206,53.31,0.0,3.71,25.25,93.75,-1.0,25.15,268.26,4.803491256954348,1.0,38.67,34.2,786.47,73.82,-561.5,-52.6
1207,50.82,0.0,3.66,24.79,90.85,-1.0,20.0,220.15,5.637010139789675,2.25,39.739999999999995,44.15,818.65,73.99,-465.34,-42.7
