nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,Fmax,smax,E
1459,56.59,60.0,6.1,25.12,153.25,145.0,-23.86,-155.67,14.23
1460,56.59,60.0,6.1,25.15,153.35,145.0,-23.09,-150.59,13.23
1461,56.59,60.0,6.11,25.22,154.03,145.0,-24.03,-156.03,13.38
1462,56.59,60.0,6.13,25.22,154.51,145.0,-24.23,-156.8,13.55
1463,56.59,60.0,6.14,25.2,154.79,145.0,10.52,67.98,13.67
1464,56.59,60.0,6.19,25.22,156.11,145.0,11.19,71.69,13.38
1465,56.59,60.0,6.22,25.26,157.03,145.0,11.13,70.88,13.06
1466,56.59,60.0,6.1,25.17,153.62,145.0,11.09,72.16,13.25
1575,51.45,90.0,3.783,10.04,37.98,126.0,-5.74,-151.06,12.9
1576,51.45,90.0,3.867,10.068,38.93,126.0,-6.35,-163.04,13.11
1577,51.45,90.0,3.877,10.147,39.34,126.0,-6.23,-158.24,12.97
1578,51.45,90.0,3.758,10.108,37.99,126.0,-5.86,-154.27,13.04
1579,51.45,90.0,3.745,10.051,37.64,126.0,-5.98,-158.94,14.48
1580,51.45,90.0,3.705,10.073,37.32,126.0,-5.62,-150.45,13.35
1581,51.45,90.0,3.715,10.096,37.51,126.0,-5.37,-143.17,11.14
1591,54.15,0.0,3.74,10.108,37.8,126.0,-24.17,-639.35,35.4
1592,54.15,0.0,3.777,10.179,38.45,126.0,-23.44,-609.62,35.87
1593,54.15,0.0,3.751,10.157,38.1,126.0,-22.95,-602.38,36.98
1594,54.15,0.0,3.809,10.114,38.52,126.0,-20.51,-532.33,38.28
1595,54.15,0.0,3.782,10.195,38.56,126.0,-22.22,-576.22,34.61
1596,54.15,0.0,3.743,10.161,38.03,126.0,-17.58,-462.17,36.2
1597,54.15,0.0,3.712,10.161,37.72,126.0,-16.85,-446.61,36.16
1598,54.15,0.0,3.767,10.159,38.27,126.0,-17.09,-446.58,37.6
1759,55.05,90.0,6.05,25.09,151.86,145.0,8.25,54.33,14.75
1760,55.05,90.0,6.02,25.2,151.6,145.0,8.81,58.11,15.28
1761,55.05,90.0,6.17,25.1,154.76,145.0,7.88,50.92,13.9
1762,55.05,90.0,6.14,25.1,154.05,145.0,8.22,53.33,14.23
1763,55.05,90.0,6.05,25.22,152.67,145.0,8.11,53.09,13.74
1764,0.0,0.0,6.34,25.34,160.66,145.0,-87.57,-545.08,41.43
1765,0.0,0.0,6.31,25.36,160.02,145.0,-98.94,-618.29,41.9
1766,0.0,0.0,6.41,25.16,161.25,145.0,-97.82,-606.62,42.11
1767,0.0,0.0,6.37,25.08,159.86,145.0,-89.15,-557.66,41.13
1768,0.0,0.0,6.26,25.36,158.75,145.0,-88.81,-559.42,42.1
1830,52.58,0.0,3.8,25.05,95.19,300.0,67.14,705.32,38.16
1831,52.58,0.0,3.81,24.95,95.06,300.0,68.31,718.61,40.17
1832,52.58,0.0,3.78,25.03,94.61,300.0,62.84,664.2,38.37
1833,52.58,0.0,3.81,25.04,95.4,300.0,64.7,678.15,37.86
1834,52.58,0.0,3.83,25.04,95.9,300.0,70.02,730.11,36.94
1835,52.58,0.0,3.77,24.91,93.91,300.0,66.8,711.28,36.9
1836,52.58,0.0,3.71,25.09,93.08,300.0,65.23,700.81,38.12
1837,54.57,90.0,3.77,24.95,94.06,300.0,5.13,54.51,12.69
1838,54.57,90.0,3.79,24.83,94.11,300.0,5.39,57.27,12.93
1839,54.57,90.0,3.77,24.85,93.68,300.0,5.47,58.38,12.23
1840,54.57,90.0,3.77,24.87,93.76,300.0,5.03,53.64,12.32
1841,54.57,90.0,3.76,24.69,92.83,300.0,5.18,55.76,12.15
