nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,R-value1,Fmax,Ncycles,f,E,Temp.,ftens,fcomp
1663,50.87,0.0,3.64,24.85,-1.0,24.1,4.784453242390176,2.17,40.11,44.0,72.8,-42.7
1664,50.87,0.0,3.6,24.86,-1.0,39.26,2.6314437690131722,0.82,40.045,44.15,72.8,-42.7
1665,50.87,0.0,3.67,24.84,-1.0,39.22,2.546542663478131,0.82,40.135,44.15,72.8,-42.7
1666,50.87,0.0,3.8,24.83,-1.0,39.23,2.401400540781544,0.82,39.68,45.0,76.46,-42.48
1769,56.59,60.0,6.05,25.2,0.1,5.34,5.3612158221214585,4.82,13.05,29.984285714285715,11.09,-23.09
1772,56.66,90.0,6.27,25.22,-1.0,2.8,5.6721412852125805,5.89,16.14,29.984285714285715,9.23,-26.2
1773,56.66,90.0,6.28,25.24,0.1,7.6,0.6020599913279624,0.02,15.64,29.984285714285715,9.23,-25.65
1774,56.66,90.0,6.31,25.22,0.1,7.64,1.919078092376074,1.34,14.92,29.984285714285715,9.23,-26.59
1775,56.66,90.0,6.32,25.24,0.1,7.66,2.0530784434834195,1.34,14.93,29.984285714285715,9.23,-26.59
1776,56.66,90.0,6.31,25.35,0.1,7.68,2.8785217955012063,1.34,15.13,29.984285714285715,9.23,-26.59
1777,56.66,90.0,6.31,25.09,0.1,7.6,2.9222062774390163,1.34,15.02,29.984285714285715,9.23,-26.59
1789,53.73,90.0,6.3,25.37,0.1,5.04,4.956869269489412,3.1,14.43,29.984285714285715,8.01,-27.22
1790,56.59,60.0,6.06,25.19,0.1,8.29,3.598133645813238,1.5,14.62,27.0,11.09,-23.09
1791,56.59,60.0,6.14,25.21,0.1,8.41,3.3830969299490943,2.0,13.93,27.3,10.52,-24.23
1792,56.59,60.0,6.07,25.2,0.1,8.31,3.5990092398233435,2.0,14.49,29.984285714285715,11.09,-23.09
1793,56.59,60.0,6.05,25.19,0.1,8.29,3.5692568333286103,1.0,13.55,29.984285714285715,11.09,-23.09
1794,56.59,60.0,6.05,25.19,0.1,8.29,3.3725438007590705,2.0,13.87,29.984285714285715,11.09,-23.09
1795,56.59,10.0,6.21,25.23,0.1,44.35,3.0770043267933502,1.5,36.4,29.984285714285715,59.94,-58.6
1796,56.59,10.0,6.13,25.19,0.1,43.69,3.1341771075767664,1.5,36.31,29.984285714285715,60.72,-57.77
1797,56.59,10.0,6.15,25.23,0.1,43.92,3.185542154854375,1.5,36.66,31.8,60.72,-57.77
1798,56.59,10.0,6.08,25.09,0.1,43.13,3.070037866607755,1.5,36.2,29.984285714285715,60.72,-58.5
1799,56.59,10.0,6.17,25.11,0.1,43.81,3.0141003215196207,1.5,36.71,34.2,60.68,-59.3
1802,53.73,90.0,6.39,25.5,0.1,5.07,5.192034711788002,3.1,13.88,29.984285714285715,8.23,-26.1
1920,56.59,60.0,6.06,25.18,0.1,5.14,5.7553968688013954,5.2,13.06,29.984285714285715,11.09,-23.09
1921,56.59,60.0,6.13,25.16,0.1,5.2,5.5449741534889725,5.2,14.15,29.984285714285715,10.52,-24.23
1922,53.73,90.0,6.25,25.48,0.1,6.48,3.911956189072687,1.86,14.26,29.984285714285715,8.26,-26.14
1923,53.73,90.0,6.28,25.55,0.1,6.52,3.946746935033585,1.86,14.08,29.984285714285715,8.01,-26.76
1924,53.73,90.0,6.27,25.5,0.1,6.51,3.9928185200666797,1.86,14.5,29.984285714285715,8.01,-26.14
1926,56.66,90.0,6.32,25.18,-1.0,5.67,3.699837725867246,1.45,15.465,29.984285714285715,9.23,-26.59
1927,56.66,90.0,6.38,25.13,-1.0,5.72,3.530071568837378,1.45,14.92,29.984285714285715,9.23,-26.65
1928,56.66,90.0,6.33,25.03,-1.0,5.65,3.91301868374796,1.45,15.275,29.984285714285715,9.0,-25.56
1950,53.31,0.0,3.69,25.11,10.0,-38.53,2.776701183988411,1.58,39.98,23.0,78.1,-51.47
1951,53.31,0.0,3.68,25.16,10.0,-35.71,4.548082170520596,1.86,40.6,23.0,70.66,-51.7
1952,53.31,0.0,3.76,25.13,10.0,-32.07,4.872907622279761,2.34,39.47,23.0,78.4,-37.77
1955,53.31,0.0,3.73,25.11,10.0,-22.43,5.82911650328449,4.83,40.59,23.0,78.4,-53.3
2213,52.41,0.0,3.76,25.47,-1.0,24.7,4.274827255438105,2.17,38.775000000000006,28.299625468164795,84.18,-35.75
2214,52.28,0.0,3.76,25.23,-1.0,16.89,6.140644092283868,2.28,39.400000000000006,28.299625468164795,87.79,-35.75
2215,52.41,0.0,3.78,25.36,-1.0,24.58,4.668665415454492,2.17,37.625,28.299625468164795,87.79,-35.75
2217,52.28,0.0,3.79,25.34,-1.0,24.51,4.8477823530039865,2.17,39.6,28.299625468164795,87.79,-51.19
2244,52.41,0.0,3.64,25.38,-1.0,17.0,5.992979650690281,4.56,39.575,28.299625468164795,86.18,-39.16
2245,53.4,0.0,3.65,25.38,-1.0,24.66,4.891258616904139,2.17,40.25,28.299625468164795,76.8,-46.82
2247,52.41,0.0,3.68,25.34,-1.0,40.0,1.505149978319906,0.41,39.455,28.299625468164795,109.1,-39.16
2248,52.41,0.0,3.68,25.49,-1.0,24.7,4.282191456275556,2.17,39.625,28.299625468164795,109.1,-39.16
2250,52.41,0.0,3.71,25.3,-1.0,40.0,2.823474229170301,0.41,39.825,28.299625468164795,86.13,-40.87
2251,52.28,0.0,3.72,25.37,-1.0,24.58,4.833344763389635,2.17,39.1,28.299625468164795,86.13,-42.33
2252,52.41,0.0,3.72,25.33,-1.0,17.0,5.019386341792188,2.28,38.775000000000006,28.299625468164795,87.77,-42.33
2253,52.41,0.0,3.73,25.44,-1.0,17.0,5.928097172117339,4.56,39.025,28.299625468164795,84.18,-35.75
2254,52.41,0.0,3.75,25.29,-1.0,16.9,5.999621564673743,2.28,38.425,28.299625468164795,87.79,-35.75
2279,50.82,0.0,3.63,24.77,-1.0,12.38,7.29786122948452,8.09,39.955,43.0,73.99,-42.7
2367,56.59,60.0,6.14,25.22,0.1,5.22,5.628742353007628,5.2,13.23,29.984285714285715,10.52,-24.23
2368,56.59,60.0,6.09,25.22,0.1,5.17,6.012196695282973,5.2,14.09,29.984285714285715,12.08,-24.03
2597,53.84,0.0,3.58,24.92,10.0,-35.0,4.962170376600235,5.1,43.85,28.299625468164795,78.9,-39.04
2598,52.3,0.0,3.58,25.21,10.0,-35.0,5.88349563358854,5.1,43.35,28.299625468164795,86.18,-38.31
2599,54.31,0.0,3.64,25.01,10.0,-43.0,5.69320970751774,4.2,43.55,28.299625468164795,78.9,-57.5
