nr,Laminate,smax,Ncycles,smean
2189,1.0,-591.39,4.397905263723669,-0.0
2190,1.0,516.47,4.602016559708155,0.0
2191,1.0,-596.11,4.60219026013319,-0.0
2192,1.0,-577.88,5.69897695299214,-0.0
2193,1.0,-567.01,4.00026049854739,-0.0
2194,1.0,-559.19,5.301082107875139,-0.0
2195,1.0,711.46,3.3967222785037734,0.0
2196,1.0,920.38,3.0008677215312267,0.0
2197,1.0,-581.83,5.301027824186143,-0.0
2198,1.0,612.85,4.398078960675112,0.0
2199,1.0,652.06,5.698917017176944,0.0
2200,1.0,700.78,5.300988735728322,0.0
2201,1.0,783.79,3.397940008672037,0.0
2202,1.0,761.95,3.999956568380192,0.0
2203,1.0,749.13,3.999869692108268,0.0
2204,1.0,467.68,4.601886238782375,0.0
2205,1.0,670.75,3.602277084300193,0.0
2206,1.0,604.71,5.903037325593351,0.0
2207,1.0,873.28,3.0008677215312267,0.0
2208,1.0,596.17,4.398078960675112,0.0
2209,1.0,-688.71,0.0,-0.0
2210,1.0,-596.4,0.0,-0.0
2211,1.0,-528.96,0.0,-0.0
2212,1.0,-671.89,0.0,-0.0
2213,1.0,257.92,4.274827255438105,0.0
2214,1.0,178.04,6.140644092283868,0.0
2215,1.0,256.75,4.668665415454492,0.0
2216,1.0,417.21,2.656098202012832,0.0
2217,1.0,255.26,4.8477823530039865,0.0
2218,1.0,176.27,6.04980740997314,0.0
2224,1.0,-433.35,0.0,-0.0
2225,1.0,-550.3,0.0,-0.0
2226,1.0,-438.35,0.0,-0.0
2227,1.0,-373.39,0.0,-0.0
2243,1.0,436.1,2.3521825181113627,0.0
2244,1.0,184.05,5.992979650690281,0.0
2245,1.0,266.62,4.891258616904139,0.0
2246,1.0,431.07,2.4771212547196626,0.0
2247,1.0,429.53,1.505149978319906,0.0
2248,1.0,263.73,4.282191456275556,0.0
2249,1.0,428.48,2.359835482339888,0.0
2250,1.0,426.73,2.823474229170301,0.0
2251,1.0,260.5,4.833344763389635,0.0
2252,1.0,180.41,5.019386341792188,0.0
2253,1.0,179.15,5.928097172117339,0.0
2254,1.0,178.47,5.999621564673743,0.0
2279,1.0,137.84,7.29786122948452,0.0
2382,1.0,582.12,5.698972610095093,0.0
2384,1.0,595.91,4.601712416694041,0.0
2385,1.0,590.27,4.6020599913279625,0.0
2386,1.0,476.37,5.903090529859707,0.0
2387,1.0,554.7,4.602125130614923,0.0
2388,1.0,481.4,5.903089986991944,0.0
2390,1.0,597.59,4.39776625612645,0.0
2391,1.0,609.89,3.3988077302032647,0.0
2392,1.0,604.28,4.000086850211649,0.0
2393,1.0,555.72,2.9995654882259823,0.0
2395,1.0,349.53,3.563243701140398,0.0
2398,1.0,353.47,3.4838724542226736,0.0
2399,1.0,349.84,3.545801757159276,0.0
2400,1.0,342.26,3.380030247967831,0.0
2401,1.0,-621.83,0.0,-0.0
2402,1.0,-40.49,0.0,-0.0
2403,1.0,-38.92,0.0,-0.0
2404,1.0,-39.75,0.0,-0.0
2405,1.0,-39.61,0.0,-0.0
2406,1.0,-39.27,0.0,-0.0
2407,1.0,-39.35,0.0,-0.0
2408,1.0,-39.17,0.0,-0.0
2409,1.0,660.73,0.0,0.0
2410,1.0,801.55,0.0,0.0
2411,1.0,780.71,0.0,0.0
2412,1.0,726.18,0.0,0.0
2413,1.0,834.78,0.0,0.0
2414,1.0,-374.35,0.0,-0.0
2415,1.0,-325.84,0.0,-0.0
2416,1.0,-422.69,0.0,-0.0
2417,1.0,-452.02,0.0,-0.0
2418,1.0,-393.88,0.0,-0.0
2440,1.0,965.85,0.0,0.0
2441,1.0,1156.5,0.0,0.0
2442,1.0,1113.51,0.0,0.0
2573,1.0,1049.54,0.0,0.0
2574,1.0,1106.98,0.0,0.0
2575,1.0,882.94,0.0,0.0
2576,1.0,1043.05,0.0,0.0
2577,1.0,1065.26,0.0,0.0
2578,1.0,-584.57,0.0,-0.0
2579,1.0,635.67,3.6020599913279625,0.0
2594,1.0,-596.31,3.0,-0.0
2595,1.0,140.87,6.239521200565928,0.0
2597,1.0,-392.4,4.962170376600235,-2158.2
