nr,smax,Ncycles,smean
2055,293.23,4.3979400086720375,161.27650000000003
2056,333.83,3.397940008672037,183.6065
2057,339.4,3.397940008672037,186.67
2058,233.11,3.062581984228163,0.0
2059,-313.53,4.3979400086720375,-1724.415
2060,333.73,4.3979400086720375,183.55150000000003
2061,327.48,4.3979400086720375,180.11400000000003
2062,335.31,4.3979400086720375,184.4205
2063,-288.9,3.996599222700167,-1588.9499999999998
2064,333.33,3.397940008672037,183.3315
2065,331.59,3.397940008672037,182.3745
2066,-313.04,2.0530784434834195,-1721.72
2067,-312.14,3.397940008672037,-1716.77
2068,-323.65,3.397940008672037,-1780.0749999999998
2069,190.72,4.447994792653729,0.0
2070,-274.82,5.582007651407587,-1511.51
2071,-328.22,3.425697213362591,-1805.21
2072,189.5,4.431653197346576,0.0
2074,625.14,3.0034605321095067,3438.27
2075,555.79,3.602927712859189,3056.845
2076,-514.1,3.004321373782642,-2827.55
2077,584.87,4.000303899784813,3216.785
2078,-485.63,4.397887890207039,-2670.965
2079,630.26,3.00774777800074,3466.43
2080,-502.05,5.698899642930523,-2761.275
2081,597.69,5.301049538475957,3287.295
2082,618.01,3.0034605321095067,3399.055
2083,488.64,5.892094045902327,2687.52
2084,-471.44,3.0034605321095067,-2592.92
2085,620.48,3.0034605321095067,3412.6400000000003
2086,-497.06,5.301025652697447,-2733.83
2087,-424.53,3.399327532158679,-2334.915
2088,-458.24,4.6020599913279625,-2520.32
2089,-488.2,4.602146841539612,-2685.1
2090,562.99,4.398200507219428,3096.445
2091,595.25,4.602201114103372,3273.875
2092,575.12,4.00039068924991,3163.16
2093,558.48,4.602016559708155,3071.6400000000003
2094,603.29,4.398304662903492,3318.095
2095,-504.67,4.00039068924991,-2775.685
2096,556.24,5.698955238072606,3059.32
2097,655.52,3.398634324538392,3605.36
2098,-470.81,4.397905263723669,-0.0
2099,-459.3,3.399673721481038,-0.0
2100,398.76,4.601897100353281,0.0
2101,-476.84,4.398183145509941,-0.0
2102,-466.23,4.40241615290662,-0.0
2103,-469.47,3.398981066658131,-0.0
2104,-465.89,3.000434077479319,-0.0
2105,482.68,3.999956568380192,0.0
2106,-456.79,5.300982220643298,-0.0
2107,-442.56,4.000564216165375,-0.0
2108,-453.24,4.000434077479318,-0.0
2109,390.87,3.6035773681514662,0.0
2110,-458.87,5.301029995663981,-0.0
2111,-413.42,5.300936612311302,-0.0
2112,-480.92,3.0017337128090005,-0.0
2113,401.2,4.397748877047959,0.0
2114,-465.09,5.698962186964988,-0.0
2115,-468.67,3.603469159733839,-0.0
2116,-467.58,5.9030693575141,-0.0
2117,590.04,3.002597980719909,0.0
