nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean
1204,6.68,25.23,168.44,150.0,0.0,-472.17,0.0,-236.085
1205,6.74,25.2,169.9,150.0,0.0,-491.53,0.0,-245.765
1667,6.6,25.23,166.52,150.0,-1.0,234.38,3.629919035503542,0.0
1669,6.61,25.22,166.7,150.0,-1.0,276.42,2.8615344108590377,0.0
1670,6.57,25.29,166.16,150.0,-1.0,249.83,2.9818186071706636,0.0
1673,6.65,25.04,166.52,150.0,-1.0,150.14,3.66228551572213,0.0
1674,6.6,25.26,166.72,150.0,-1.0,149.96,3.2605483726369795,0.0
1675,6.52,25.35,165.28,150.0,10.0,-271.48,4.873558904211726,-149.31400000000002
1676,6.63,25.38,168.27,150.0,10.0,-294.11,3.743352951409556,-161.7605
1677,6.37,25.04,159.5,150.0,10.0,-277.86,5.942633482854105,-152.823
1678,6.55,25.07,164.21,150.0,10.0,-297.73,4.436194462320936,-163.75150000000002
1679,6.64,25.3,167.99,150.0,10.0,-293.64,4.731492065483537,-161.502
1680,6.57,25.15,165.24,150.0,10.0,-339.45,3.2979792441593623,-186.69750000000002
1681,6.58,25.23,166.01,150.0,10.0,-269.01,5.866856571153084,-147.9555
1682,6.63,25.32,167.87,150.0,10.0,-294.09,4.319647288183423,-161.7495
1683,6.6,25.32,167.11,150.0,10.0,-337.14,3.187520720836463,-185.42700000000002
1684,6.64,25.28,167.86,150.0,10.0,-264.98,6.676219009391319,-145.73900000000003
1685,6.59,25.19,166.0,150.0,10.0,-325.0,3.362293937964231,-178.75000000000003
1686,6.66,25.33,168.7,150.0,10.0,-274.99,5.3637454438336505,-151.24450000000002
1687,6.58,25.3,166.47,150.0,10.0,-299.99,4.223833277236323,-164.99450000000002
1688,6.65,25.15,167.25,150.0,10.0,-299.97,3.6238692683503024,-164.98350000000002
1689,6.65,25.19,167.51,150.0,10.0,-350.0,2.962369335670021,-192.50000000000003
1690,6.62,25.21,166.89,150.0,10.0,-249.98,7.007485970552654,-137.489
2135,6.49,25.05,162.32,150.0,0.0,-432.13,0.0,-216.065
2136,6.73,25.11,168.53,150.0,0.0,-421.64,0.0,-210.82
2137,6.42,25.09,160.89,150.0,0.0,574.7,0.0,287.35
2138,6.56,25.24,165.44,150.0,0.0,466.95,0.0,233.475
2139,6.57,25.15,164.91,150.0,0.0,495.89,0.0,247.945
2140,6.66,25.17,167.43,150.0,0.0,462.24,0.0,231.12
2141,6.7,25.33,169.51,150.0,0.0,485.33,0.0,242.665
2142,6.29,25.14,157.94,150.0,10.0,-335.23,4.439506376888728,-184.37650000000002
2143,6.38,25.21,160.52,150.0,10.0,-275.08,6.068555040694015,-151.294
2144,6.38,25.06,159.69,150.0,-0.4,317.73,2.938519725176492,95.319
2145,6.45,25.06,161.38,150.0,10.0,-326.98,5.185034756724982,-179.83900000000003
2146,6.46,25.22,162.6,150.0,10.0,-271.56,6.155222134116443,-149.358
2147,6.49,25.04,162.32,150.0,10.0,-270.84,6.1419468109259,-148.962
2148,6.57,25.33,166.22,150.0,10.0,-266.92,6.324799595776807,-146.806
2149,6.59,25.4,167.25,150.0,10.0,-268.24,4.8823024958187755,-147.532
2150,6.64,25.31,167.93,150.0,10.0,-293.35,4.996607976784119,-161.34250000000003
2151,6.67,25.26,168.22,150.0,10.0,-315.82,3.6214878645806303,-173.70100000000002
2152,6.69,25.38,169.52,150.0,10.0,-293.95,5.337932234876929,-161.6725
2153,6.69,25.1,167.79,150.0,10.0,-315.03,3.723291446477584,-173.2665
2154,6.75,25.19,169.76,150.0,10.0,-288.24,4.881555829793312,-158.532
2155,6.8,25.16,170.88,150.0,10.0,-286.4,4.316389751073196,-157.52
2156,6.44,24.68,158.61,150.0,-1.0,239.5,3.390758528738717,0.0
2157,6.43,24.8,159.28,150.0,-1.0,137.76,6.062704171113168,0.0
2158,6.45,25.04,161.38,150.0,-1.0,283.57,2.558708570533166,0.0
2159,6.48,25.12,162.52,150.0,-1.0,186.58,4.224481265303632,0.0
2160,6.61,25.26,166.7,150.0,-1.0,182.79,4.71218654396046,0.0
2161,6.64,25.26,167.4,150.0,-1.0,233.35,3.1789769472931693,0.0
2162,6.69,25.18,168.25,150.0,-1.0,132.88,5.912473417424488,0.0
2163,6.7,25.25,168.71,150.0,-1.0,180.4,3.8069935136821074,0.0
2164,6.71,25.19,168.7,150.0,-1.0,180.23,5.052347599224664,0.0
2165,6.73,25.18,169.33,150.0,-1.0,230.19,3.0989896394011773,0.0
2166,6.74,25.19,169.45,150.0,-1.0,268.83,2.6127838567197355,0.0
2167,6.75,25.26,170.37,150.0,-1.0,179.11,4.614053105987219,0.0
2168,6.77,25.18,170.14,150.0,-1.0,270.21,3.5921767573958667,0.0
2169,6.83,25.09,171.16,150.0,-1.0,226.7,3.830203598925704,0.0
2170,6.85,25.02,171.32,150.0,-1.0,226.21,2.973589623427257,0.0
2171,6.3,25.19,158.51,150.0,-0.4,243.91,3.8374621714859947,73.173
2172,6.36,25.13,159.51,150.0,-0.4,170.84,5.002938893242647,51.252
2173,6.37,25.14,159.89,150.0,-0.4,171.23,4.878562006091662,51.36899999999999
2174,6.54,25.41,165.79,150.0,-0.4,306.53,3.3188977146274867,91.95899999999999
2175,6.58,25.2,165.75,150.0,-0.4,233.99,4.292100938480419,70.197
2176,6.61,25.33,167.11,150.0,-0.4,164.4,5.7544721837301305,49.32
2177,6.61,25.35,167.43,150.0,-0.4,232.75,4.361746717975897,69.825
2178,6.67,25.36,168.89,150.0,-0.4,230.78,4.503477442436995,69.234
2179,6.67,25.25,168.28,150.0,-0.4,187.04,5.696915281411643,56.111999999999995
2180,6.69,25.32,169.19,150.0,-0.4,229.65,4.421965688225113,68.895
2181,6.73,25.34,170.27,150.0,-0.4,297.94,3.7204074008031087,89.38199999999999
2182,6.75,25.23,169.84,150.0,-0.4,161.04,6.1272282630504025,48.312
2183,6.77,25.19,170.21,150.0,-0.4,227.14,4.786353846576918,68.142
2184,6.8,25.28,171.57,150.0,-0.4,295.21,3.5471591213274176,88.56299999999999
2185,6.43,25.21,161.85,150.0,0.1,346.35,3.330210784571528,190.49250000000004
2186,6.71,25.08,167.89,150.0,0.1,263.44,4.9932598314367365,144.89200000000002
2280,6.79,25.42,172.63,150.0,0.0,512.53,0.0,256.265
2286,6.37,25.12,160.01,150.0,-0.4,249.98,3.878923733967567,74.994
2287,6.3,25.1,158.13,150.0,-0.4,225.0,4.116275587580544,67.5
2288,6.41,25.22,161.66,150.0,-0.4,159.66,4.035949779536674,47.897999999999996
2289,6.43,25.23,162.23,150.0,-0.4,183.51,4.843650048599647,55.053
2290,6.42,25.28,162.3,150.0,-0.4,168.21,5.066255090442671,50.463
2291,6.65,25.22,167.71,150.0,-0.4,150.38,6.363288112367281,45.114
2292,6.6,25.2,166.32,150.0,-0.4,330.27,3.3550682063488506,99.08099999999999
2293,6.68,25.27,168.8,150.0,-0.4,279.91,4.161936705245781,83.973
2294,6.63,25.22,167.21,150.0,-0.4,239.82,4.566425706567533,71.946
2295,6.64,25.33,168.19,150.0,-0.4,213.86,5.015598635505834,64.158
2297,6.75,25.27,170.57,150.0,-0.4,210.0,4.795038408286419,63.0
2298,6.68,25.28,168.85,150.0,-1.0,133.2,5.287187911368403,0.0
2299,6.73,25.26,169.99,150.0,-1.0,132.13,5.365458032514468,0.0
2300,6.74,25.19,169.78,150.0,-1.0,179.53,4.2534833920870145,0.0
2301,6.72,25.21,169.27,150.0,-1.0,180.09,4.5009770535891995,0.0
2302,6.72,25.17,169.02,150.0,10.0,-261.99,4.998097974154078,-144.0945
2303,6.66,25.26,168.29,150.0,0.1,196.56,5.727476189310718,108.108
2304,6.67,25.23,168.18,150.0,0.1,265.42,3.804275767129094,145.98100000000002
2305,6.7,25.19,168.64,150.0,0.1,264.2,4.566284254084595,145.31
2307,6.71,24.99,167.64,150.0,0.1,195.18,5.673945679080203,107.34900000000002
2308,6.63,25.17,166.66,150.0,0.1,197.59,5.55870137222243,108.67450000000001
2309,6.73,25.25,169.95,150.0,0.1,194.49,5.729698417060987,106.96950000000001
2310,6.68,25.23,168.58,150.0,0.1,195.97,5.755737688387494,107.7835
2369,6.67,25.29,168.68,150.0,0.0,535.4,0.0,267.7
2370,6.74,25.23,170.05,150.0,0.0,542.46,0.0,271.23
2371,6.65,25.29,168.18,150.0,0.0,538.42,0.0,269.21
2372,6.7,25.3,169.51,150.0,0.0,534.34,0.0,267.17
2373,6.77,25.2,170.6,150.0,0.0,538.28,0.0,269.14
2434,6.41,24.88,159.16,150.0,0.0,645.22,0.0,322.61
2435,6.47,25.43,164.47,150.0,0.0,724.17,0.0,362.085
2436,6.33,25.5,161.22,150.0,0.0,731.92,0.0,365.96
2437,6.38,25.42,161.99,150.0,0.0,713.84,0.0,356.92
2438,6.4,25.48,162.94,150.0,0.0,723.27,0.0,361.635
2439,6.64,25.08,166.53,150.0,0.0,526.74,0.0,263.37
2443,6.54,25.29,165.27,150.0,0.0,664.6,0.0,332.3
2444,6.4,25.01,160.0,150.0,0.5,348.11,4.185202065187894,261.0825
2445,6.49,25.03,161.99,150.0,0.5,342.78,4.288047909592119,257.085
2446,6.44,24.8,159.59,150.0,0.5,274.83,5.187506620137363,206.1225
2447,6.38,24.97,159.18,150.0,0.5,278.33,4.8782344686750445,208.7475
2448,6.45,25.04,161.38,150.0,0.1,274.21,4.159717546180215,150.81550000000001
2449,6.44,25.07,161.13,150.0,0.1,274.6,4.037864555774374,151.03000000000003
2450,6.45,24.75,159.51,150.0,0.1,273.8,4.0277979433503,150.59000000000003
2451,6.56,25.31,165.84,150.0,0.1,199.36,5.5397095057782515,109.64800000000001
2452,6.75,25.32,170.58,150.0,0.1,193.87,6.174703354779472,106.62850000000002
2453,6.76,25.17,169.88,150.0,0.1,261.12,4.865180991389705,143.616
2454,6.82,25.34,172.49,150.0,0.1,326.66,3.400365273349939,179.66300000000004
2456,6.49,25.12,162.96,150.0,-2.5,147.16,2.0211892990699383,-110.37
2457,6.47,25.12,162.14,150.0,-2.5,94.88,5.285896960957969,-71.16
2458,6.36,25.0,158.87,150.0,-2.5,126.3,3.017450729510536,-94.725
2460,6.36,25.2,160.08,150.0,-2.5,81.18,6.164439705996086,-60.885000000000005
2601,6.4,25.08,161.15,150.0,-2.5,126.08,4.374766670285203,-94.56
2602,6.84,25.08,171.56,150.0,2.0,-438.68,3.772028165324855,-329.01
2604,6.65,25.03,166.72,150.0,0.1,335.66,3.65359838184329,184.61300000000003
2605,6.8,24.95,169.86,150.0,2.0,-412.59,4.875645719848249,-309.4425
2606,6.88,24.96,171.92,150.0,2.0,-407.48,5.3661034231187825,-305.61
2607,6.92,24.98,173.0,150.0,2.0,-439.75,4.4919496945765545,-329.8125
2608,6.83,25.5,174.04,150.0,-0.4,294.13,3.5485122563410356,88.23899999999999
2609,6.47,24.92,161.04,150.0,-1.0,187.27,4.099715162351024,0.0
2610,6.52,25.27,164.5,150.0,10.0,-269.13,6.129281824572188,-148.0215
2611,6.43,25.28,162.42,150.0,-1.0,240.2,3.446070935701005,0.0
