nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean,smin
2309,6.73,25.25,169.95,150.0,0.1,194.49,5.729698417060987,106.96950000000001,19.449000000000012
2310,6.68,25.23,168.58,150.0,0.1,195.97,5.755737688387494,107.7835,19.59700000000001
2444,6.4,25.01,160.0,150.0,0.5,348.11,4.185202065187894,261.0825,174.05499999999995
2445,6.49,25.03,161.99,150.0,0.5,342.78,4.288047909592119,257.085,171.39
2446,6.44,24.8,159.59,150.0,0.5,274.83,5.187506620137363,206.1225,137.41500000000002
2447,6.38,24.97,159.18,150.0,0.5,278.33,4.8782344686750445,208.7475,139.16500000000002
2448,6.45,25.04,161.38,150.0,0.1,274.21,4.159717546180215,150.81550000000001,27.42100000000005
2449,6.44,25.07,161.13,150.0,0.1,274.6,4.037864555774374,151.03000000000003,27.460000000000036
2450,6.45,24.75,159.51,150.0,0.1,273.8,4.0277979433503,150.59000000000003,27.380000000000052
2451,6.56,25.31,165.84,150.0,0.1,199.36,5.5397095057782515,109.64800000000001,19.936000000000007
2452,6.75,25.32,170.58,150.0,0.1,193.87,6.174703354779472,106.62850000000002,19.38700000000003
2453,6.76,25.17,169.88,150.0,0.1,261.12,4.865180991389705,143.616,26.112000000000023
2454,6.82,25.34,172.49,150.0,0.1,326.66,3.400365273349939,179.66300000000004,32.666000000000054
2456,6.49,25.12,162.96,150.0,-2.5,147.16,2.0211892990699383,-110.37,-367.9
2457,6.47,25.12,162.14,150.0,-2.5,94.88,5.285896960957969,-71.16,-237.2
2458,6.36,25.0,158.87,150.0,-2.5,126.3,3.017450729510536,-94.725,-315.75
2460,6.36,25.2,160.08,150.0,-2.5,81.18,6.164439705996086,-60.885000000000005,-202.95000000000002
2601,6.4,25.08,161.15,150.0,-2.5,126.08,4.374766670285203,-94.56,-315.2
2602,6.84,25.08,171.56,150.0,2.0,-219.34,3.772028165324855,-329.01,-438.67999999999995
2604,6.65,25.03,166.72,150.0,0.1,335.66,3.65359838184329,184.61300000000003,33.56600000000003
2605,6.8,24.95,169.86,150.0,2.0,-206.295,4.875645719848249,-309.4425,-412.59000000000003
2606,6.88,24.96,171.92,150.0,2.0,-203.74,5.3661034231187825,-305.61,-407.48
2607,6.92,24.98,173.0,150.0,2.0,-219.875,4.4919496945765545,-329.8125,-439.75
2608,6.83,25.5,174.04,150.0,-0.4,294.13,3.5485122563410356,88.23899999999999,-117.65200000000002
2609,6.47,24.92,161.04,150.0,-1.0,187.27,4.099715162351024,0.0,-187.27
2610,6.52,25.27,164.5,150.0,10.0,-26.913,6.129281824572188,-148.0215,-269.13
2611,6.43,25.28,162.42,150.0,-1.0,240.2,3.446070935701005,0.0,-240.2
2612,6.35,24.81,157.54,150.0,-1.0,139.39,5.804342555557652,0.0,-139.39
2613,6.4,24.7,158.08,150.0,-1.0,189.65,3.6223176608338443,0.0,-189.65
2614,6.39,24.89,158.92,150.0,0.5,204.86,6.332622238690065,153.645,102.43
2615,6.51,24.67,160.35,150.0,-1.0,186.44,4.605272715323677,0.0,-186.44
2616,6.36,25.49,161.99,150.0,0.1,278.06,4.158754386632288,152.93300000000002,27.80600000000004
2622,6.69,25.34,169.32,150.0,-1.0,180.72,3.5169318088680126,0.0,-180.72
2623,6.74,25.25,169.86,150.0,-1.0,132.01,6.161994431855405,0.0,-132.01
2624,6.74,25.17,169.45,150.0,-1.0,179.57,3.296665190261531,0.0,-179.57
2625,6.75,25.1,169.22,150.0,10.0,-28.862000000000002,5.109183554169652,-158.741,-288.62
2626,6.47,25.08,162.27,150.0,0.1,273.38,4.193597610298094,150.359,27.338000000000022
2627,6.33,25.1,158.69,150.0,0.5,351.71,4.057285644418215,263.78249999999997,175.85499999999996
2628,6.45,24.99,161.19,150.0,0.5,271.74,4.96900099093947,203.805,135.87
2629,6.4,25.07,160.45,150.0,-2.5,95.232,5.889618201838019,-71.424,-238.08
2734,6.6,25.1,165.66,150.0,-0.4,95.44,7.595429055305109,28.631999999999998,-38.176
2779,6.82,24.72,168.45,150.0,10.0,-30.915,5.0067355207188475,-170.0325,-309.15
2805,6.84,25.02,171.01,150.0,10.0,-30.797000000000004,5.42141635011384,-169.38350000000003,-307.97
2813,6.78,24.91,168.48,150.0,10.0,-31.056,5.18782518424518,-170.808,-310.56
2819,6.66,25.28,167.84,150.0,-1.0,274.31,4.427096432549316,0.0,-274.31
2846,6.73,25.29,170.68,150.0,2.0,-205.79,5.6276300403193495,-308.685,-411.58000000000004
2847,6.41,24.92,159.67,150.0,-1.0,189.29,4.352182518111363,0.0,-189.29
2869,6.65,25.1,166.92,150.0,-1.0,103.77,5.775708726500088,0.0,-103.77
3008,6.45,25.2,162.54,150.0,0.5,274.39,4.899273187317604,205.7925,137.195
3013,6.5,25.1,163.15,150.0,0.1,343.06,3.485437481076301,188.68300000000002,34.30600000000004
3057,6.17,25.11,154.93,150.0,0.1,212.16,5.141377646306111,116.688,21.216000000000008
3058,6.82,24.93,169.87,150.0,0.1,191.95,5.980762155232885,105.5725,19.19500000000002
3059,6.77,25.06,169.54,150.0,0.1,193.1,5.7807557066191215,106.20500000000001,19.31000000000003
3060,6.75,24.85,167.45,150.0,0.1,194.03,6.060019811962086,106.71650000000001,19.40300000000002
3061,6.8,24.84,168.69,150.0,0.1,192.48,5.8275702170114085,105.864,19.24800000000002
3062,6.8,24.88,169.2,150.0,0.1,192.36,5.731339719776532,105.79800000000002,19.23600000000002
3063,6.76,25.5,172.32,150.0,0.1,193.94,6.203226045232798,106.667,19.394000000000005
3148,6.7,24.87,166.48,150.0,2.0,-195.22,5.4641928620343245,-292.83,-390.43999999999994
3159,6.5,25.1,163.15,150.0,0.5,352.31,4.681087397502494,264.2325,176.15500000000003
3160,6.45,25.25,162.86,150.0,0.5,355.02,3.9414120403735495,266.265,177.51
3161,6.45,25.25,162.86,150.0,0.5,355.02,4.035029282202368,266.265,177.51
3162,6.5,25.0,162.5,150.0,0.5,272.31,5.930597074421362,204.23250000000002,136.15500000000003
3163,6.45,25.35,163.51,150.0,0.5,274.42,4.916885396562972,205.815,137.20999999999998
3164,6.4,25.45,162.88,150.0,0.5,276.58,4.862667950228588,207.435,138.29000000000002
3165,6.6,24.9,164.34,150.0,0.5,213.58,7.123427784830979,160.185,106.78999999999999
3670,6.45,25.2,162.54,150.0,-2.5,60.14519504,6.5215039403903985,-45.108896279999996,-150.3629876
3671,6.37,25.3,161.16,150.0,-2.5,109.99931744,3.4401216031878037,-82.49948807999999,-274.9982936
3672,6.53,25.2,164.56,150.0,-2.5,99.97812296,4.969154884451621,-74.98359221999999,-249.9453074
3673,6.43,25.3,162.68,150.0,-2.5,119.99090232,3.484299839346786,-89.99317674,-299.97725579999997
3735,6.7,25.26,169.24,150.0,-1.0,180.5698349,5.229817458192203,0.0,-180.5698349
3736,6.65,25.24,167.85,150.0,-1.0,233.0707911,4.308671106715418,0.0,-233.0707911
3737,6.64,25.21,167.39,150.0,-1.0,233.4606176,4.4187154968655955,0.0,-233.4606176
3738,6.75,25.35,171.11,150.0,-1.0,179.2621813,5.439943434971297,0.0,-179.2621813
3739,6.64,25.33,168.19,150.0,0.1,335.8677505,4.038620161949702,184.727262775,33.58677505000003
3740,6.64,25.15,167.0,150.0,0.1,335.8463676,3.9651075858490556,184.71550218000002,33.58463676000002
3741,6.64,25.15,167.0,150.0,0.1,266.5932118,4.923129988403675,146.62626649,26.659321180000006
3742,6.64,25.35,168.32,150.0,0.1,266.5692355,5.025428761407241,146.61307952500002,26.656923550000045
